NUM,STATION,NAME,X[m],sig_X[m],Y[m],sig_Y[m],Z[m],sig_Z[m],START,END,ID-SNX
1273,UNSJ,41527M001,1987485.00044,0.00178,-5065493.41306,0.0035,-3317557.41642,0.00238,2015-09-17,2022-04-30,A3
1274,URUM,21612M001,193030.3255,0.0001,4606851.30411,0.00017,4393311.5203,0.00017,2000-01-02,2005-05-30,A1
1275,URUM,21612M001,193030.31412,0.00029,4606851.27816,0.0005,4393311.49818,0.00049,2005-09-02,2008-09-16,A2
1276,URUM,21612M001,193030.30876,0.00014,4606851.29664,0.00034,4393311.5144,0.00033,2008-09-17,2017-11-01,A3
1277,URUM,21612M001,193030.31431,0.00047,4606851.28339,0.00096,4393311.49151,0.00092,2017-11-02,2022-04-30,A4
1278,URUS,41802M001,2361785.54685,0.00099,-5595048.66316,0.00151,-1954576.61637,0.00089,2010-01-19,2011-05-21,A1
1279,URUS,41802M001,2361785.54569,0.00092,-5595048.66763,0.0016,-1954576.61364,0.00072,2011-05-22,2014-03-31,A2
1280,URUS,41802M001,2361785.54246,0.00103,-5595048.6828,0.00194,-1954576.62173,0.00077,2014-04-02,2018-06-15,A3
1281,USCL,41768M001,1762489.81217,0.00091,-5027632.6888,0.00174,-3496009.28875,0.0012,2017-02-14,2021-09-04,A1
1282,USCL,41768M001,1762489.81109,0.00169,-5027632.68612,0.0025,-3496009.29382,0.00208,2021-09-05,2022-04-30,A2
1283,USLP,40530M001,-1129695.13635,0.00025,-5803303.88949,0.00071,2389926.96596,0.00033,2008-06-22,2016-08-31,A1
1284,USNO,40451S003,1112189.61954,0.0001,-4842955.03205,0.00019,3985352.28956,0.00015,2000-01-04,2015-03-19,A1
1285,UYAR,42312M001,3039390.88784,0.00059,-4590396.44171,0.00083,-3209894.85435,0.00059,2014-12-01,2022-04-30,A1
1286,UYBA,66017M001,1541247.77283,0.00119,-2555204.76831,0.00173,-5618168.9274,0.00343,2015-12-07,2020-07-25,A1
1287,UYBA,66017M001,1541247.81436,0.00428,-2555204.68266,0.00631,-5618168.95536,0.01117,2021-01-03,2022-04-30,A2
1288,UYCL,42309M001,3153354.61223,0.00049,-4374491.00057,0.00065,-3394828.78771,0.0005,2013-12-03,2022-04-30,A1
1289,UYCO,42310M001,2802526.96132,0.00064,-4456438.04533,0.0009,-3588935.25844,0.0007,2014-12-01,2022-04-30,A1
1290,UYDU,42305M001,3014166.60531,0.00025,-4402480.64771,0.00034,-3483378.32923,0.00027,2010-05-20,2022-04-29,A1
1291,UYFD,42313M001,2942131.56314,0.00064,-4393140.04015,0.00089,-3555382.4688,0.00068,2014-12-01,2022-04-30,A1
1292,UYFS,42311M001,2908045.61957,0.00054,-4458703.78968,0.00076,-3501903.47364,0.00058,2014-12-01,2022-04-30,A1
1293,UYIF,42322M001,2931854.69423,0.00143,-4335667.4928,0.00185,-3632988.96552,0.00157,2015-06-19,2018-03-03,A1
1294,UYIF,42322M001,2931854.68822,0.00143,-4335667.48154,0.00198,-3632988.95977,0.00157,2018-03-04,2022-04-30,A2
1295,UYLA,42314M001,3004414.89042,0.00058,-4330650.9907,0.0008,-3579820.06519,0.00063,2014-12-01,2022-04-30,A1
1296,UYLP,42306M001,3076651.72062,0.00029,-4256808.85748,0.00038,-3606524.6679,0.00031,2010-08-31,2022-04-30,A1
1297,UYMA,42324M001,2998612.8384,0.00157,-4296176.83736,0.00214,-3625428.73134,0.00168,2018-03-16,2022-04-30,A1
1298,UYMO,42301M001,2909133.01765,0.00054,-4355451.35025,0.00062,-3627801.11562,0.00059,2006-12-28,2009-03-08,A1
1299,UYMO,42301M001,2909133.00831,0.00067,-4355451.35319,0.00076,-3627801.10111,0.00076,2009-03-09,2010-02-26,A2
1300,UYMO,42301M001,2909133.00106,0.00027,-4355451.36384,0.00036,-3627801.10686,0.00029,2010-02-28,2022-04-30,A3
1301,UYNI,41804M001,2353861.85948,0.00027,-5498849.86578,0.00051,-2217394.19319,0.00025,2005-11-28,2014-03-31,A1
1302,UYNI,41804M001,2353861.81198,0.00655,-5498849.88863,0.01086,-2217394.18625,0.00497,2014-04-02,2022-04-30,A2
1303,UYPA,42304M001,2854570.68857,0.00075,-4580210.99561,0.00085,-3387815.07928,0.00083,2010-07-05,2011-12-27,A1
1304,UYPA,42304M001,2854570.68885,0.0003,-4580211.00524,0.00044,-3387815.07642,0.00034,2011-12-28,2022-04-30,A2
1305,UYPT,42321M001,2961239.26017,0.00059,-4475610.41072,0.00083,-3435436.9984,0.00064,2015-03-27,2022-04-30,A1
1306,UYRI,42308M001,3098198.77124,0.00048,-4517886.0189,0.00065,-3256111.17462,0.00048,2013-10-11,2022-04-30,A1
1307,UYRO,42303M001,3144469.67101,0.00059,-4258022.14213,0.00065,-3546571.87424,0.00063,2008-02-28,2010-02-26,A1
1308,UYRO,42303M001,3144469.66202,0.00028,-4258022.14728,0.00037,-3546571.87291,0.00029,2010-02-28,2022-04-30,A2
1309,UYRV,42319M001,3137312.29679,0.0006,-4429036.76326,0.00081,-3339145.84513,0.00061,2014-12-01,2022-04-30,A1
1310,UYSA,42315M001,2891578.68179,0.0006,-4620273.12314,0.00088,-3301519.18312,0.00063,2014-12-01,2022-04-30,A1
1311,UYSG,42316M001,3019247.97495,0.00059,-4449969.56664,0.00079,-3418356.81793,0.00061,2014-12-01,2022-04-30,A1
1312,UYSJ,42320M001,2894374.11955,0.00053,-4407788.19889,0.00075,-3576191.82073,0.00059,2014-11-19,2022-04-30,A1
1313,UYSO,42307M001,2828006.8289,0.00029,-4528151.51322,0.00041,-3478267.83545,0.00032,2011-01-01,2022-04-30,A1
