NUM,STATION,NAME,VX[m/a],sig_VX[m/a],VY[m/a],sig_Y[m],VZ[m/a],sig_VZ[m/a],START,END,ID-SNX
308,DARI,41305M001,0.01668,0.00019,0.00739,0.00055,0.014,0.00016,2010-01-01,2016-12-31,A1
309,DARI,41305M001,0.01669,0.0004,0.0074,0.00071,0.01407,0.00036,2018-10-09,2021-06-23,A2
310,DARW,50134M001,-0.03502,0.00049,-0.01398,0.0005,0.05831,0.00048,2000-01-02,2001-10-27,A1
311,DARW,50134M001,-0.03504,0.0005,-0.01393,0.00051,0.0584,0.0005,2001-10-28,2003-04-04,A2
312,DARW,50134M001,-0.03509,0.00014,-0.01395,0.00015,0.05832,8e-05,2003-04-05,2017-07-04,A3
313,DARW,50134M001,-0.03508,0.00038,-0.01392,0.00039,0.05835,0.00026,2017-07-05,2021-06-16,A4
314,DARW,50134M001,-0.03501,0.00052,-0.01395,0.00053,0.05834,0.00051,2021-06-17,2022-04-30,A5
315,DAV1,66010M001,0.00193,0.0001,-0.00556,0.00015,-0.00137,0.00033,2000-01-02,2007-08-01,A1
316,DAV1,66010M001,0.00193,0.00017,-0.00556,0.0003,-0.00137,0.00048,2007-08-02,2011-02-20,A2
317,DAV1,66010M001,0.00192,5e-05,-0.00557,8e-05,-0.00137,0.00017,2011-02-21,2022-04-30,A3
318,DAVI,41302M001,0.02077,0.00019,0.00565,0.00059,0.01463,0.00016,2008-07-30,2014-12-09,A1
319,DAVI,41302M001,0.01917,0.00018,0.00436,0.00055,0.01277,0.00015,2014-12-11,2022-04-30,A2
320,DORA,41915S001,0.00234,0.00017,0.0033,0.00036,0.01528,0.00013,2006-02-16,2012-05-02,A1
321,DORA,41915S001,0.00235,0.0001,0.00331,0.00023,0.01524,7e-05,2012-05-03,2022-04-30,A2
322,DPEC,42051M001,0.00164,0.00066,-0.00155,0.0014,0.00114,0.00059,2018-06-29,2019-05-25,A1
323,DPEC,42051M001,0.00165,0.00044,-0.00155,0.0013,0.00114,0.00033,2019-05-27,2022-04-30,A2
324,DRAO,40105M002,-0.01557,7e-05,-0.00056,0.00011,-0.00605,0.00012,2000-01-02,2012-10-22,A1
325,DRAO,40105M002,-0.01557,0.00039,-0.00056,0.00049,-0.00605,0.00053,2012-10-23,2013-03-11,A2
326,DRAO,40105M002,-0.01556,0.00011,-0.00056,0.00017,-0.00606,0.0002,2013-03-12,2021-09-02,A3
327,DRAO,40105M002,-0.01552,0.00039,-0.00056,0.00049,-0.00606,0.00053,2021-09-03,2022-04-30,A4
328,EACH,48041M001,0.00122,0.00037,-0.0061,0.00039,0.01117,0.00024,2017-11-28,2022-04-30,A1
329,EBYP,41538M001,0.00125,0.00048,-0.00615,0.00052,0.01076,0.00051,2008-12-31,2010-02-26,A1
330,EBYP,41538M001,0.00124,0.00014,-0.00616,0.00018,0.01077,0.00012,2010-02-28,2021-07-03,A2
331,ECEC,42027M001,0.00829,0.00037,0.01113,0.00107,0.01492,0.00026,2012-11-18,2016-04-15,A1
332,ECEC,42027M001,0.00067,0.00024,0.0045,0.00067,0.01327,0.00017,2016-04-17,2022-04-30,A2
333,EESC,41694M001,0.00042,0.00018,-0.00589,0.00019,0.01154,0.00011,2012-02-17,2022-04-30,A1
334,EISL,41703M003,0.0654,0.00169,-0.01821,0.00486,-0.00434,0.00292,2000-01-02,2003-02-06,A1
335,EISL,41703M003,0.06549,0.00175,-0.01822,0.00488,-0.00434,0.00296,2003-02-07,2004-02-12,A2
336,EISL,41703M003,0.06547,0.00175,-0.0182,0.00488,-0.00433,0.00296,2004-02-14,2005-01-29,A3
337,ELEN,40902S001,-0.00702,0.00014,-0.00131,0.00052,0.00172,0.0002,2001-12-08,2008-10-29,A1
338,ELEN,40902S001,-0.00702,0.00037,-0.00132,0.00069,0.00173,0.00039,2009-08-26,2012-06-19,A2
339,ELEN,40902S001,-0.00702,0.00034,-0.00131,0.00067,0.00173,0.00034,2012-06-20,2016-02-18,A3
340,EMIB,41805M002,0.00297,0.0005,-0.00296,0.0006,0.01319,0.00049,2012-06-12,2014-03-31,A1
341,EMIB,41805M002,0.00323,0.00019,-0.00406,0.00036,0.0122,0.00014,2014-04-02,2022-04-30,A2
342,EPEC,42039M001,0.00642,0.00067,0.00192,0.00193,0.01033,0.00048,2013-11-22,2016-04-15,A1
343,EPEC,42039M001,-0.00191,0.00035,0.00123,0.00095,0.01166,0.00024,2016-04-17,2022-04-30,A2
344,EREC,42037M001,0.00224,0.00049,0.00121,0.00139,0.00772,0.00035,2013-06-14,2016-04-15,A1
345,EREC,42037M001,-9e-05,0.00059,0.00189,0.00118,0.01018,0.00051,2016-04-17,2019-05-25,A2
346,EREC,42037M001,-9e-05,0.00039,0.00188,0.00108,0.01015,0.00027,2019-05-27,2022-04-30,A3
347,ESMR,42011M001,0.01739,0.00019,0.00172,0.00057,0.01676,0.00014,2009-05-03,2016-01-09,A1
348,ESNV,48039M001,0.00135,0.00054,-0.00686,0.00048,0.01237,0.00027,2018-06-05,2022-04-30,A1
349,ESQU,41533M001,0.00059,0.00053,-0.00639,0.00116,0.00909,0.0011,2008-10-01,2016-02-06,A1
350,ESQU,41533M001,0.00059,0.00065,-0.00639,0.00126,0.0091,0.00121,2016-02-07,2016-12-24,A2
351,ESQU,41533M001,0.00147,0.00061,-0.00817,0.00132,0.00602,0.00119,2016-12-26,2022-04-30,A3
352,ESTI,41202S001,0.01244,0.00091,0.00139,0.00276,0.01193,0.00105,2000-05-11,2000-09-12,A1
353,ESTI,41202S001,0.01243,0.00091,0.00139,0.00276,0.01194,0.00105,2000-09-13,2001-01-13,A2
354,ESTI,41202S001,0.01243,0.00076,0.00139,0.00272,0.01194,0.00092,2001-01-14,2003-02-26,A3
355,ETCG,40602M001,0.01245,0.00023,0.00427,0.00058,0.0162,0.00023,2003-02-12,2008-01-07,A1
356,ETCG,40602M001,0.01245,0.00055,0.00427,0.00077,0.01623,0.00055,2008-01-09,2009-01-07,A2
357,ETCG,40602M001,0.01247,0.00031,0.00427,0.00069,0.01629,0.00029,2009-01-09,2012-09-04,A3
358,ETCG,40602M001,0.0124,0.00018,0.00426,0.00052,0.01623,0.00017,2012-09-06,2017-11-12,A4
359,ETCG,40602M001,0.01248,0.00068,0.00426,0.00222,0.01623,0.00065,2017-11-14,2019-11-07,A5
360,EXU0,43606M001,-0.01005,0.00014,0.0012,0.00035,0.00451,0.00018,2007-06-29,2015-07-27,A1
361,FAIR,40408M001,-0.02049,0.00098,-0.00317,0.00914,-0.00887,0.0028,2000-01-03,2002-11-02,A1
362,FAIR,40408M001,-0.02067,6e-05,-0.00322,5e-05,-0.00857,0.00013,2002-11-04,2022-04-30,A2
363,FALK,80602M001,0.00538,0.00038,-0.00821,0.00047,0.00795,0.00054,2008-07-22,2010-02-26,A1
364,FALK,80602M001,0.00538,0.00029,-0.00822,0.00038,0.00796,0.00045,2010-02-28,2013-11-16,A2
365,FALK,80602M001,0.00539,0.00011,-0.00821,0.00016,0.00796,0.0002,2013-11-18,2022-04-30,A3
366,FLOR,41916S001,-0.0043,0.00016,0.00231,0.00043,0.00931,0.00011,2006-11-04,2014-02-12,A1
